sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
test-sample-Red-34,,Default,simple,,base,test-sample-Red-34,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-34,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=31",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Red-36,,Default,simple,,base,test-sample-Red-36,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-36,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=32",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Red-38,,Default,simple,,base,test-sample-Red-38,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-38,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=33",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Red-39,,Default,simple,,base,test-sample-Red-39,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-39,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=34",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Red-42,,Default,simple,,base,test-sample-Red-42,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-42,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=36",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Red-44,,Default,simple,,base,test-sample-Red-44,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-red-44,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Red,size=28",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Green-34,,Default,simple,,base,test-sample-Green-34,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-green-34,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Green,size=31",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Green-36,,Default,simple,,base,test-sample-Green-36,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-green-36,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Green,size=32",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Green-38,,Default,simple,,base,test-sample-Green-38,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-green-38,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Green,size=33",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
test-sample-Green-39,,Default,simple,,base,test-sample-Green-39,,,1.000000,1,"Taxable Goods","Not Visible Individually",23.000000,,,,test-sample-green-39,test-sample,test-sample,"test-sample ",,,,,,,,,"5/22/22, 11:20 PM","5/23/22, 11:13 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Green,size=34",55.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
