"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - 匹配任意； 'xyz*' - 匹配以 'xyz' 开头且不长于 %d。"
"-- Please Select --","-- 请选择 --"
"Add New Class","添加新类"
"Add New Tax Rate","添加新税率"
"Add New Tax Rule","添加新税率规则"
"After Discount","折扣后"
"An error occurred while deleting this rate.","删除该税率时出现了错误。"
"An error occurred while deleting this rate. Incorrect rate ID.","删除该费率时出现了错误。错误的费率ID。"
"An error occurred while deleting this tax class.","删除该税务类型时出现了错误。"
"An error occurred while deleting this tax rule.","删除该税务规则时出现了错误。"
"An error occurred while saving this rate.","保存该税率时出现了错误。"
"An error occurred while saving this tax class.","保存该税务类别时出现了错误。"
"An error occurred while saving this tax class. A class with the same name","保存该税金类别时出错。已有类别使用该名称"
"An error occurred while saving this tax rule.","保存该税务规则时出现了错误。"
"Apply Customer Tax","应用客户税"
"Apply Discount On Prices","在价格上应用折扣"
"Apply Tax On","将税应用于"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","如果选中”折后应用税率“，则在含税价格上应用折扣会根据店铺税率计算。"
"Are you sure you want to do this?","您是否确认要这样做？"
"Back","返回"
"Before Discount","折前"
"CSV","CSV"
"Calculation Settings","计算设置"
"Catalog Prices","分类价格"
"Class Name","类型名称"
"Code","代码"
"Country","国家"
"County","国家"
"Custom price if available","可用时的自定义价格"
"Customer Tax Class","客户税务类型"
"Customer Tax Class Information","自定义税费类别信息"
"Customer Tax Classes","客户税率"
"Default Country","默认国家"
"Default Post Code","默认发布代码"
"Default State","默认州"
"Default Tax Destination Calculation","默认税额计算"
"Delete Class","删除类"
"Delete Rate","删除费率"
"Delete Rule","删除规则"
"Display Full Tax Summary","显示完整文字摘要"
"Display Prices","显示价格"
"Display Product Prices In Catalog","在分类中显示产品价格"
"Display Shipping Amount","显示运送量"
"Display Shipping Prices","显示运费"
"Display Subtotal","显示小计"
"Display Zero Tax Subtotal","显示零税额小计"
"Edit Class","编辑类"
"Edit Class '%s'","编辑类 '%s'"
"Edit Rule","修改规则"
"Edit Tax Rate","编辑税率"
"Excel XML","Excel XML"
"Excl. Tax","不含税"
"Excl. Tax:","不含税："
"Excluding Tax","不含税"
"Export Tax Rates","导出税率"
"Grand Total (Excl. Tax)","合计（不含税）"
"Grand Total (Excl.Tax)","合计（不含税）"
"Grand Total (Incl. Tax)","合计（含税）"
"Grand Total (Incl.Tax)","合计（含税）"
"Grand Total Excl. Tax","合计不含税"
"Grand Total Incl. Tax","合计含税"
"Import / Export Tax Rates","导入/导出税率"
"Import Tax Rates","导入税率"
"Inc. Tax","含税"
"Incl. Tax","含税"
"Incl. Tax:","含税："
"Include Tax In Grand Total","在合计中含税"
"Including Tax","含税"
"Including and Excluding Tax","包含和不包含税"
"Invalid file format upload attempt","文件格式无效的上传企图"
"Invalid file upload attempt","文件无效的上传企图"
"Manage Customer Tax Classes","管理客户税类"
"Manage Product Tax Classes","管理产品税类"
"Manage Tax Rates","管理税率"
"Manage Tax Rules","管理税务规则"
"Manage Tax Zones & Rates","管理税务地区和税率"
"Name","姓名"
"New Class","新类"
"New Rule","新规则"
"New Tax Rate","新税率"
"No","否"
"None","无"
"One of the country has invalid code.","其中一个国家代码无效。"
"Orders, Invoices, Credit Memos Display Settings","订单、收据、信用记录显示设置"
